amostragem;amostra;site;latitude;longitude;data;especie;sepal_lenght_cm;sepal_width_cm;petal_length_cm;petal_width_cm
A111;A132;1;48.935966;-64.840984;01/12/1929;Iris_virginica;7.9;3.8;6.4;2
 A52 ;A54;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.5;2.3;4;1.3
 A61 ;A81;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.5;2.4;3.8;1.1
 A9 ;A42;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.5;2.3;1.3;0.3
 A4 ;A27;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5;3.4;1.6;0.4
 A110;A129;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.4;2.8;5.6;2.1
 A1 ;A18;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.5;1.4;0.3
 A76 ;A77;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.8;2.8;4.8;1.4
 A29 ;A2;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.9;3;1.4;0.2
 A22 ;A32;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.4;3.4;1.5;0.4
 A75 ;A74;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.1;2.8;4.7;1.2
 A130;A137;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;3.4;5.6;2.4
 A121;A110;2;48.540502;-64.766512;13/02/1930;Iris_virginica;7.2;3.6;6.1;2.5
 A42;A43;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.4;3.2;1.3;0.2
 A142;A124;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.3;2.7;4.9;1.8
